City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
381,Kirkwall,GB,58.9848,-2.9587,51.85,87,100,8.05,overcast clouds
382,Papara,BR,-3.9839,-38.7273,79.2,85,88,3.4,overcast clouds
383,Kupang,ID,-10.1667,123.5833,86.77,66,96,6.62,overcast clouds
384,Vardo,NO,70.3705,31.1107,39.18,60,100,11.5,overcast clouds
385,Koumac,NC,-20.5667,164.2833,77.45,75,84,18.03,broken clouds
386,Akdepe,TM,42.0551,59.3788,38.55,47,42,6.22,scattered clouds
387,Moroni,KM,-11.7022,43.2551,75.27,79,0,2.26,clear sky
388,Fayaoue,NC,-20.65,166.5333,77.34,82,67,25.46,broken clouds
389,Axim,GH,4.8699,-2.2405,76.75,87,21,3.42,few clouds
390,Husavik,IS,66.0449,-17.3389,35.04,75,53,10.85,broken clouds
391,Sault Sainte Marie,CA,46.5168,-84.3333,28.69,69,100,9.22,overcast clouds
392,Saint-Joseph,RE,-21.3667,55.6167,76.48,71,0,4.12,clear sky
393,Taber,CA,49.8167,-112.1518,7.18,96,100,4.14,overcast clouds
394,Havoysund,NO,70.9963,24.6622,37.63,62,100,5.66,overcast clouds
395,Kenora,CA,49.8167,-94.4337,8.22,97,60,3.98,broken clouds
396,Manokwari,ID,-0.8667,134.0833,83.61,70,98,6.11,overcast clouds
397,Saint-Leu,RE,-21.15,55.2833,76.96,100,1,6.69,clear sky
398,Soe,ID,-9.8607,124.284,82.71,56,98,4.45,overcast clouds
399,Grand-Bourg,GP,15.8835,-61.3148,76.95,78,17,12.48,few clouds
400,Sergeyevka,KZ,53.88,67.4158,33.84,97,100,19.66,light snow
401,Yar-Sale,RU,66.8333,70.8333,-3.5,98,95,10.6,overcast clouds
402,Tautira,PF,-17.7333,-149.15,74.32,84,100,6.38,light rain
403,Bireun,ID,5.203,96.7009,75.06,96,100,1.34,overcast clouds
404,Banda Aceh,ID,5.5577,95.3222,78.15,86,100,10.49,moderate rain
405,Tiarei,PF,-17.5333,-149.3333,77.02,85,100,10.18,light rain
406,Oistins,BB,13.0667,-59.5333,79.92,78,49,10.76,scattered clouds
407,Trapani,IT,37.8333,12.6667,59.88,67,100,2.19,overcast clouds
408,Marrakesh,MA,31.6315,-8.0083,60.87,44,0,2.3,clear sky
409,Telford,GB,52.6766,-2.4493,54.52,94,75,6.91,mist
410,Yokaichiba,JP,35.7,140.55,76.14,73,75,11.5,broken clouds
411,Batsfjord,NO,70.6345,29.7185,33.58,69,40,2.3,light snow
412,Isangel,VU,-19.55,169.2667,78.24,79,100,14.67,overcast clouds
413,Namatanai,PG,-3.6667,152.4333,84.65,71,98,8.84,light rain
414,Luderitz,NA,-26.6481,15.1594,56.93,85,0,9.53,clear sky
415,Tshela,CD,-4.9833,12.9333,69.31,98,70,0.45,broken clouds
416,Kouango,CF,4.9934,19.9619,70.77,92,97,1.54,overcast clouds
417,Korla,CN,41.7597,86.1469,35.42,48,1,3.42,clear sky
418,West Wendover,US,40.7391,-114.0733,31.19,57,100,2.77,overcast clouds
419,Vavozh,RU,56.7751,51.931,40.86,92,100,16.67,moderate rain
420,Doha,QA,25.2867,51.5333,80.58,69,0,5.75,clear sky
421,Abu Samrah,SY,35.3029,37.1841,58.91,54,5,6.42,clear sky
422,Makakilo City,US,21.3469,-158.0858,78.44,67,100,9.22,overcast clouds
423,Hamilton,US,39.1834,-84.5333,33.6,89,100,4.0,snow
424,Poum,NC,-20.2333,164.0167,76.32,80,80,23.76,broken clouds
425,Chemal,RU,51.4111,86.005,35.83,64,100,9.28,overcast clouds
426,Bukama,CD,-9.2,25.85,66.81,98,76,2.37,light rain
427,Pimentel,PE,-6.8367,-79.9342,63.03,83,76,12.5,broken clouds
428,Port Hedland,AU,-20.3167,118.5667,84.25,58,1,14.97,clear sky
429,Gisors,FR,49.2818,1.7801,49.28,83,54,5.26,broken clouds
430,Inongo,CD,-1.95,18.2667,71.15,89,80,2.17,broken clouds
431,Tomatlan,MX,19.9333,-105.25,70.29,93,0,1.48,clear sky
432,Babstovo,RU,48.1167,132.4833,26.22,62,9,6.29,clear sky
433,Havelock,US,34.8791,-76.9013,68.95,90,0,4.0,clear sky
